,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
30,tt2452386,Altruisti si diventa,The Fundamentals of Caring,2016,2016-06-24,"Comedy, Drama",97,USA,English,Rob Burnett,"Rob Burnett, Jonathan Evison",Levantine Films,"Alex Huff, Donna Biscoe, Paul Rudd, Julia Denton, Jennifer Ehle, Craig Roberts, Ashley White, Matthew Pruitt, Alan Boell, Selena Gomez, Bill Murphey, Robert Walker Branchaud, Eric Singer, James Donadio, Megan Ferguson",A man suffering a family loss enrolls in a class about care-giving that changes his perspective on life.,7.3,55835,,,,55.0,126.0,71.0
31,tt0047417,Rivolta al blocco 11,Riot in Cell Block 11,1954,1955-02-04,"Crime, Drama, Film-Noir",80,USA,English,Don Siegel,"Richard Collins, Richard Collins",Walter Wanger Productions,"Neville Brand, Emile Meyer, Frank Faylen, Leo Gordon, Robert Osterloh, Paul Frees, Don Keefer, Alvy Moore, Dabbs Greer, Whit Bissell, James Anderson, Carleton Young, Harold J. Kennedy, William Schallert, Jonathan Hole","Fed up with the inhumane prison living conditions, a general prison riot breaks out, leading to hostage-taking, a stand-off with the guards and eventual negotiations with the prison administration officials.",7.0,1608,$ 298780,,,,22.0,41.0
32,tt5460530,Vendetta: Una storia d'amore,Vengeance: A Love Story,2017,2017-09-15,"Action, Crime, Drama",99,USA,English,Johnny Martin,"John Mankiewicz, Joyce Carol Oates",Patriot Pictures,"Nicolas Cage, Anna Hutchison, Talitha Eliana Bateman, Deborah Kara Unger, Don Johnson, Joshua Mikel, Rocco Nugent, Joe Ochterbeck, Carter Burch, Charlene Tilton, Dikran Tulaine, Kara Flowers, Jimmy Gonzales, Cory Scott Allen, Mike Pniewski",A group of strangers come to the aid of a single mother seeking to bring her rapists to justice.,5.2,6619,,$ 4526,$ 73270,,100.0,23.0
33,tt0033246,We Who Are Young,We Who Are Young,1940,1940-07-19,"Drama, Romance",80,USA,English,Harold S. Bucquet,Dalton Trumbo,Metro-Goldwyn-Mayer (MGM),"Lana Turner, John Shelton, Gene Lockhart, Grant Mitchell, Henry Armetta, Jonathan Hale, Clarence Wilson, Ian Wolfe, Hal K. Dawson, John Butler, Irene Seidner, Charles Lane, Horace McMahon, Sam Ash","Two young office workers working at the same large firm secretly marry and defy their employer's policy against coworker fraternization. When the marriage is discovered, Margy (Turner) is ...",6.1,264,$ 362000,,,,14.0,1.0
34,tt6118340,The Basement,The Basement,2018,2020-04-01,Horror,90,USA,English,"Brian M. Conley, Nathan Ives","Nathan Ives, Brian M. Conley",The Conley Company,"Jackson Davis, Cayleb Long, Mischa Barton, Bailey Anne Borders, Tracie Thoms, Kareem J. Grimes, Sarah Nicklin, Christa Conley, Jessica Sonneborn, Marsha Vassilevskaia","A seemingly innocent man is abducted by a notorious L.A. serial killer, who forces his victims to role-play with him so that he can enact his capture, torture and murder fantasies.",4.4,2431,,,$ 4286,27.0,118.0,35.0
35,tt0034030,Pirates on Horseback,Pirates on Horseback,1941,1941-05-23,Western,69,USA,English,Lesley Selander,"Clarence E. Mulford, Ethel La Blanche",Harry Sherman Productions,"William Boyd, Russell Hayden, Andy Clyde, Eleanor Stewart, Morris Ankrum, William Haade, Dennis Moore, Henry Hall, Britt Wood","Hoppy, Lucky and California search for a mine owned by Trudy Pendleton after it was taken from her by the swindling gambler Ace Gibson. They find the mine and Hoppy fights Gibson over it.",6.6,125,,,,,9.0,1.0
36,tt0042609,The Jackie Robinson Story,The Jackie Robinson Story,1950,1950-12-21,"Biography, Drama, Sport",77,USA,English,Alfred E. Green,"Arthur Mann, Lawrence Taylor",Jewel Pictures,"Jackie Robinson, Ruby Dee, Minor Watson, Louise Beavers, Richard Lane, Harry Shannon, Ben Lessy, William 'Bill' Spaulding, Billy Wayne, Joel Fluellen, Bernie Hamilton, Kenny Washington, Pat Flaherty, Larry McGrath, Emmett Smith","Biography of Jackie Robinson, the first black major league baseball player in the 20th century. Traces his career in the negro leagues and the major leagues.",6.4,1088,,,,,27.0,13.0
37,tt0975645,Hitchcock,Hitchcock,2012,2013-04-04,"Biography, Drama, Romance",98,"USA, UK",English,Sacha Gervasi,"John J. McLaughlin, Stephen Rebello",Fox Searchlight Pictures,"Anthony Hopkins, Helen Mirren, Scarlett Johansson, Danny Huston, Toni Collette, Michael Stuhlbarg, Michael Wincott, Jessica Biel, James D'Arcy, Richard Portnow, Kurtwood Smith, Ralph Macchio, Kai Lennox, Tara Summers, Wallace Langham",The relationship between,6.8,71041,$ 15700000,$ 6008677,$ 27039669,55.0,236.0,401.0
38,tt0030983,Woman Against Woman,Woman Against Woman,1938,1938-06-24,"Drama, Romance",61,USA,English,Robert B. Sinclair,"Margaret Culkin Banning, Edward Chodorov",Metro-Goldwyn-Mayer (MGM),"Herbert Marshall, Virginia Bruce, Mary Astor, Janet Beecher, Marjorie Rambeau, Juanita Quigley, Zeffie Tilbury, Sarah Padden, Betty Ross Clarke, Dorothy Christy, Morgan Wallace, Joseph Crehan","Cynthia is married to Steve and is a selfish hard woman. She decides where they will live, who they will see and even gets rid of Dora, the nanny who raised Steve and is now raising their ...",6.1,223,,,,,7.0,4.0
39,tt0410097,Hustle & Flow - Il colore della musica,Hustle & Flow,2005,2005-07-22,"Crime, Drama, Music",116,USA,English,Craig Brewer,Craig Brewer,Crunk Pictures,"Terrence Howard, Anthony Anderson, Taryn Manning, Taraji P. Henson, DJ Qualls, Ludacris, Paula Jai Parker, Elise Neal, Isaac Hayes, Juicy J, William Engram, Bobby Sandimanie, Haystak, Claude Phillips, Josey Scott","With help from his friends, a Memphis pimp in a mid-life crisis attempts to become a successful hip-hop emcee.",7.3,38167,$ 2800000,$ 22202809,$ 23563727,68.0,213.0,149.0
